Qen,Aen1,Aen2,Qfr,Afr1,Afr2
"In the street, you look at",People,Your phone,"Dans la rue, vous regardez",Les gens,Votre téléphone
Worst getting caught,Masturbating,Peeing in the pool,Le pire à se faire attraper,En train de se masturber,En train de pisser dans la piscine
At which level do you consider it an adultery,Oral,Fantasizing,À quel niveau considérez-vous cela comme un adultère ?,Oral,Fantasmer
Best tool for a zombie apocalypse,A Walkie Talkie,An axe,L'outil idéal en cas d'apocalypse zombie,Un talkie-walkie,Une hache
Amplified sense,Have the smell of a dog,Have the sight of an eagle,Sens amplifié,Avoir l'odeur d'un chien,Avoir la vue d'un aigle
More bearable when hiking for 2 hours,Without underwear,Wearing flip flops,Plus supportable lors d'une randonnée de 2 heures,Sans sous-vêtements,Porter des tongs
Your life style,"Keep everything, throw nothing",Own as little as possible,Votre style de vie,"Gardez tout, ne jetez rien",Posséder le moins possible
Best Quickie style,In the shower,On the kitchen table,Meilleur pour un Quickie,Sous la douche,Sur la table de la cuisine
What are your neighbors more likely to complain about,Noise after hours,Suspicious smells,De quoi vos voisins sont-ils le plus susceptibles de se plaindre ?,Bruit très tard,Odeurs suspectes
Time travel,To the past,To the future,Voyage dans le temps,Vers le passé,Vers l'avenir
New year's resolution every year,Eat Healthier,Work out more,Résolution du Nouvel An chaque année,Mangez plus sainement,Faire plus d'exercice
Orgasm sound type,Piercing scream,Low moan,Type de son d'orgasme,Cri perçant,Gémissement faible
Put you in the mood,Sex toys,Sexy costumes/lingerie,Pour vous mettre dans l'ambiance,Jouets sexuels,Costumes/lingerie sexy
Go-to Christmas gift,Pair of socks,Scented candle,Le cadeau de Noël incontournable,Paire de chaussettes,Bougie parfumée
Your fingernails,Cut them,Chew them,Vos ongles,Coupez-les,Mâchez-les
Preferred Holidays,With your in-laws,Alone in front of the TV,Jours fériés préférés,Avec vos beaux-parents,Seul devant la télévision
Kind of student,Copied homework from others,Always did homework,Type d'élève,J'ai copié les devoirs des autres,J'ai toujours fait mes devoirs
Never have to wait for,Traffic light,Check-out line,Ne plus jamais avoir à attendre,Feu de circulation,File d'attente à la caisse
If it is broken,Repair it yourself,Buy a new one,S'il est cassé,Réparez-le vous-même,Achetez-en un nouveau
Be the brand face for,An Hemmorrhoid cream,An Adult diaper,Soyez l'égérie de la marque pour,Une crème pour hémorroïdes,Une couche pour adulte
Making out with,Person to you left,Person to your right,Un coup d'un soir avec,La personne à votre gauche,Personne à votre droite
When a topic annoys you,You wait politely,You cut the conversation short,Quand un sujet vous agace,Vous attendez poliment,Vous interrompez la conversation
Someone cheating in games,You cheat too,You tell on them,Quelqu'un triche dans les jeux,"Toi aussi, tu triches",Tu les dénonces
Harder to give your advice on,Relationships,Chidren's education,Il est plus difficule de donnez son avis sur,Relations,L'éducation des enfants
Teleport,To Mars,To Hawaii,Téléportation,Vers Mars,À Hawaï
Live,One month in prison,One year without phone,Vivre,Un mois de prison,Un an sans téléphone
Prefer to be stuck 1 hour,In traffic,On a ski lift,Je préférerais rester coincé pendant 1 heure,Dans les embouteillages,Sur un télésiège
Worst DNA test,Your sister is from your uncle,Your Parents are cousins,Le pire test ADN,Votre soeur viens de votre oncle,Vos parents sont cousins.
Key to success,Intelligence,Beauty,Clé du succès,Intelligence,Beauté
Your skin covered in,Fur,Scales,Votre peau recouverte de,Fourrure,Ecailles
Person to your left,You slap them,You French kiss them,Personne à votre gauche,Tu le/la gifles,Tu l'embrasses à la française
Speeding ticket,I deserve it,Probably a mistake,Contravention pour excès de vitesse,Je le mérite,Probablement une erreur
Your dating pattern,Let's take it month by month,til death do us part,Votre schéma de rencontres,Très très doucement,"Vite fait, bien fait, pour etre fixé rapidement"
Find,Treasure map,A time capsule box,Trouver,Carte au trésor,Une capsule temporelle
At the supermarket,Shortest line,Hottest cashier,Au supermarché,Ligne la plus courte,Caissier/ère le/la plus sexy
A whole lifetime without,Telephone,Toilet Paper,Toute une vie sans,Téléphone,Papier toilette
Get laid,On a pebble beach,In an igloo,Baiser,Sur une plage de galets,Dans un igloo
Period Sex,"Nah, I'm good",It's fiiiine,Sexe pendant les règles,"Non, ça va",Ça va bien
Live,Hometown forever,New country every 5 years,Vivre,Ma ville natale pour toujours,Un nouveau pays tous les 5 ans
Worst at a restaurant,Pubic hair in the plate,Cockroach around,Le pire dans un restaurant,Poils pubiens dans l'assiette,Cafards qui se baladent
Shoes,Crocs,Cowboy boots with spurs,Chaussures,Crocs,Bottes de cowboy avec éperons
Halloween Costume,Sexy,Funny,Costume d'Halloween,Sexy,Drôle
Porno,Follow the story,Skip the story,Porno,Suivre l'histoire,Passez l'histoire
